name,stars,no_of_ratings,price,discount,sleeve,fit,collar,brands
Men Slim Fit Casual Shirt,4.2,25,1097,(39% OFF),Long Sleeves,Slim Fit,Button-Down Collar,HIGHLANDER
Men Navy Blue & Brown Slim Fit Checked Casual Shirt,4.1,1900,367,(79% OFF),Long Sleeves,Slim Fit,Spread Collar,SNITCH
Men Maroon & Black Checked Pure Cotton Casual Shirt,4.3,10400,701,(46% OFF),Long Sleeves,Regular Fit,Spread Collar,V-MART
Men Classic Slim Fit Opaque Casual Shirt,5,5,1097,(39% OFF),Long Sleeves,Slim Fit,Button-Down Collar,HIGHLANDER
Men Standard Pure Cotton Casual Shirt,4.1,4100,699,(50% OFF),Long Sleeves,Regular Fit,Spread Collar,ROADSTER
Grey Classic Slim Fit Cotton Casual Shirt,4.1,257,599,(70% OFF),Long Sleeves,Slim Fit,Spread Collar,HIGHLANDER
Men Green Slim Fit Solid Casual Shirt,4.1,3100,296,(73% OFF),Short Sleeves,Slim Fit,Mandarin Collar,METRONAUT
Men Navy Blue & Green Checked Casual Shirt,4.3,12100,623,(52% OFF),Long Sleeves,Regular Fit,Spread Collar,SNITCH
Men Pink Solid Long Roll-Up Sleeves Slim Fit Casual Shirt,4.2,1700,399,(80% OFF),Long Sleeves,Slim Fit,Button-Down Collar,SNITCH
Men Blue & White Slim Fit Checked Casual Shirt,4.2,2400,559,(68% OFF),Long Sleeves,Slim Fit,Spread Collar,SNITCH
Men Mauve Regular Fit Solid Sustainable Casual Shirt,4.2,3500,539,(55% OFF),Long Sleeves,Regular Fit,Spread Collar,SNITCH
Men Standard Opaque Casual Pure Cotton Shirt,4.1,4100,671,(44% OFF),Long Sleeves,Regular Fit,Spread Collar,HIGHLANDER
Spread Collar Cotton Casual Shirt,3.9,42,1999,(20% OFF),Long Sleeves,Regular Fit,Spread Collar,ROADSTER
Men Black & White Checked Pure Cotton Casual Shirt,4.3,28300,614,(59% OFF),Long Sleeves,Regular Fit,Mandarin Collar,ROADSTER
The Men Blue & White Printed Pure Cotton Casual Shirt,4.2,650,713,(58% OFF),Long Sleeves,Regular Fit,Spread Collar,HIGHLANDER
Men Classic Slim Fit Cotton Casual Shirt,3.8,24,1104,(35% OFF),Long Sleeves,Slim Fit,Button-Down Collar,POWERLOOK
Highlander Men White Popcorn Textured Solid Cuabn Collar Shirt,4.4,25,407,(76% OFF),Short Sleeves,Relaxed Fit,Cuban Collar,ROADSTER
Brown Ethnic Motifs Printed Cuban Collar Slim Fit Casual Shirt,4.4,1100,593,(67% OFF),Short Sleeves,Slim Fit,Cuban Collar,SNITCH
Classic Slim Fit Spread Collar Satin Casual Shirt,4.3,360,1049,(30% OFF),Long Sleeves,Slim Fit,Spread Collar,GLITCHEZ
Men Checked Pure Cotton Shirt,4.4,430,588,(69% OFF),Long Sleeves,Regular Fit,Spread Collar,SNITCH
Men Beige Slim Fit Solid Casual Shirt,4.1,2600,559,(68% OFF),Long Sleeves,Slim Fit,Cutaway Collar,ROADSTER
Men Black Pure Cotton Casual Shirt,4.3,2800,531,(62% OFF),Long Sleeves,Regular Fit,Band Collar,HIGHLANDER
Stripe Flex Opaque Striped Casual Shirt,3.4,19,584,(50% OFF),Short Sleeves,Relaxed Fit,Cuban Collar,CAMPUS SUTRA
Men Striped Pure Cotton Casual Shirt,4.3,42,749,(70% OFF),Long Sleeves,Regular Fit,Spread Collar,SNITCH
Men Classic Tartan Checked Casual Shirt,4.4,563,594,(65% OFF),Long Sleeves,Regular Fit,Spread Collar,ROADSTER
