,name,stars,no_of_ratings,price,discount,sleeve,fit,collar
161,Men Navy Blue Slim Fit Printed Casual Shirt,4.2,2.4k Ratings,â‚¹599,(70% OFF),Short Sleeves,Slim Fit,Spread Collar
162,Cotton Mandarin Collar Casual Shirt,4.2,274 Ratings,â‚¹664,(65% OFF),Long Sleeves,Regular Fit,Mandarin Collar
163,Men Classic Slim Fit Opaque Casual Shirt,4.1,1k Ratings,â‚¹669,(Rs. 1330 OFF),Long Sleeves,Slim Fit,Cutaway Collar
164,Slim Fit Spread Collar Casual Shirt,3.7,2.6k Ratings,â‚¹514,(Rs. 1485 OFF),Long Sleeves,Slim Fit,Spread Collar
165,Men Navy Blue & Orange Checked Casual Shirt,4.1,13.6k Ratings,â‚¹559,(68% OFF),Long Sleeves,Regular Fit,Spread Collar
166,The Life Co. Drop Shoulder Sleeves Relaxed Fit Pure Cotton Casual Shirt,4.8,13 Ratings,â‚¹674,(73% OFF),Long Sleeves,Relaxed Fit,Spread Collar
167,Slim Fit Checked Casual Shirt,3.7,231 Ratings,â‚¹321,(77% OFF),Long Sleeves,Slim Fit,Spread Collar
168,Men Comfort Cotton Casual Shirt,4.1,30k Ratings,â‚¹559,(68% OFF),Long Sleeves,Regular Fit,Spread Collar
169,Men Navy Blue Cotton Casual Shirt,4.2,5.6k Ratings,â‚¹599,(50% OFF),Long Sleeves,Regular Fit,Spread Collar
170,The Life Co. Relaxed Fit Checked Pure Cotton Casual Shirt,4.3,20 Ratings,â‚¹712,(69% OFF),Long Sleeves,Relaxed Fit,Spread Collar
171,Men Green Solid Slim Fit Casual Shirt,4.2,1.5k Ratings,â‚¹655,(59% OFF),Long Sleeves,Slim Fit,Spread Collar
172,Men White Pure Cotton Casual Shirt,4.4,3.1k Ratings,â‚¹531,(62% OFF),Long Sleeves,Regular Fit,Band Collar
173,Men Navy Blue Slim Fit Striped Casual Shirt,4.1,1.8k Ratings,â‚¹412,(67% OFF),Long Sleeves,Slim Fit,Spread Collar
174,Men Slim Fit Tartan Checks Checked Casual Shirt,4.2,5k Ratings,â‚¹671,(58% OFF),Long Sleeves,Slim Fit,Spread Collar
175,Checked Slim Fit Shirt,4.3,1.9k Ratings,â‚¹413,(77% OFF),Long Sleeves,Slim Fit,Spread Collar
176,Men Beige & Blue Slim Fit Checked Casual Shirt,3.9,975 Ratings,â‚¹367,(79% OFF),Long Sleeves,Slim Fit,Spread Collar
177,Men Striped Mandarin Collar Pure Cotton Casual Shirt,4.3,462 Ratings,â‚¹629,(70% OFF),Long Sleeves,Regular Fit,Mandarin Collar
178,Men Spread Collar Textured Slim Fit Casual Shirt,,,â‚¹659,(70% OFF),Long Sleeves,Slim Fit,Spread Collar
